NewsID	NewsTypeID	Title	SubTitle	Summary	Article	DateArticle	DateRelease	DateArchive	Active	Tags	URL
4	3	NO ONE'S GONNA LOVE YOU		Cee Lo Green introduces his eagerly anticipated new solo album with 'No One's Gonna Love You'.	<p>Cee Lo Green introduces his eagerly anticipated new solo album with 'No One's Gonna Love You'.&nbsp; The track, which was produced by Paul Epworth,&nbsp;is a&nbsp;beautiful interpretation of the 'Band of Horses' original.<br />  <br />  The edited and unedited versions of the video for 'No One's Gonna Love You' are available&nbsp;for you to&nbsp;watch on Cee Lo Green's official Youtube channel <a target="_parent" href="http://www.youtube.com/ceelogreen">here</a>. <br />  <br />  Sign up to Cee Lo's mailing list to recieve a free download of 'No One's Gonna Love You'.</p>	2010-07-07 17:11:00.000	2010-07-21 17:21:00.000	2020-07-21 00:00:00.000	1		http://www.ceelogreen.com/news,view_4.htm
5	1	CEE LO GREEN ONLINE FEATURES		NME.com and the Mail Online feature Cee Lo Green	<p>Cee Lo's forthcoming album 'Lady Killer' and newest release 'No One's Gonna Love You' are causing a stir online.<br />  <br />  Visit NME.com <a target="_parent" href="http://www.nme.com/news/gnarls-barkley/51806">here</a> and the Mail Online <a target="_parent" href="http://www.dailymail.co.uk/home/article-1291177/Cee-Lo-Green-voice-Gnarls-Barkley-goes-solo-new-album.html?ito=feeds-newsxml">here</a> to read the latest features.</p>	2010-07-10 09:15:00.000	2010-07-26 09:26:00.000	2020-07-26 00:00:00.000	1		http://www.ceelogreen.com/news,view_5.htm
6	1	CEE LO GREEN ON SPOTIFY		Listen to 'Georgia' on Spotify now...	<p>'Georgia' is now&nbsp;available to listen to on Spotify.&nbsp; Simply click <a target="_parent" href="http://open.spotify.com/album/61cjVzcdeNkxnP2RSXNyvp">here</a>&nbsp;to listen now!&nbsp; You can download 'Georgia' for free by signing up to Cee Lo Green's mailing list.</p>	2010-07-26 09:23:00.000	2010-07-26 09:26:00.000	2020-07-26 00:00:00.000	1		http://www.ceelogreen.com/news,view_6.htm
7	3	'CHAMPAIN' FREE DOWNLOAD		Sign up to Cee Lo Green's mailing list to receive 'ChamPain' for free...	<p>'ChamPain' is now available as an additional free download when you sign up to Cee Lo Green's mailing list.&nbsp;<br />	2010-07-26 09:29:00.000	2010-07-26 09:26:00.000	2020-07-26 00:00:00.000	1		http://www.ceelogreen.com/news,view_7.htm
8	2	WATCH: CEE LO GREEN JAY LENO PERFORMANCE		Cee Lo Green performed ‘What Part Of Forever’ from the Eclipse Soundtrack on the Jay Leno show last night.	<p>Cee Lo Green performed &lsquo;What Part Of Forever&rsquo; from the Eclipse Soundtrack on the Jay Leno show last night. Don&rsquo;t worry if you missed it, watch it online below. Just skip forward to the 38 minute mark for some musical mayhem.</p>  <p><object width="480" height="386"><param name="movie" value="http://www.youtube.com/v/gIAddoP9-_8&color1=0x402061&color2=0x9461ca&hl=en_US&feature=player_embedded&fs=1"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/gIAddoP9-_8&color1=0x402061&color2=0x9461ca&hl=en_US&feature=player_embedded&fs=1" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="480" height="386"></embed></object></p>	2010-06-15 14:34:00.000	2010-06-15 14:15:00.000	2020-07-26 00:00:00.000	1		http://www.ceelogreen.com/news,view_8.htm
9	2	WATCH AGAIN: ECLIPSE SOUNDTRACK LIVE CONCERT		Don’t worry if you missed the live streaming event last night...	<p>Don&rsquo;t worry if you missed the live streaming event last night, you can watch it back as many times as you like below. Check out interviews and performances by soundtrack artists, Cee Lo Green, Metric and Eastern Conference Champions!</p>  <p><object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" width="480" height="386" id="utv185924" name="utv_n_628886"><param name="flashvars" value="beginPercent=0.3301&amp;endPercent=0.9997&amp;autoplay=false&locale=en_US" /><param name="allowfullscreen" value="true" /><param name="allowscriptaccess" value="always" /><param name="src" value="http://www.ustream.tv/flash/video/7834646" /><embed flashvars="beginPercent=0.3301&amp;endPercent=0.9997&amp;autoplay=false&locale=en_US" width="480" height="386" allowfullscreen="true" allowscriptaccess="always" id="utv185924" name="utv_n_628886" src="http://www.ustream.tv/flash/video/7834646" type="application/x-shockwave-flash" /></object></p>	2010-06-23 14:37:00.000	2010-07-26 14:26:00.000	2020-07-26 00:00:00.000	1		http://www.ceelogreen.com/news,view_9.htm
10	2	Watch Again: Lopez Tonight Performance		Don't worry if you missed it, here's another chance to watch Cee Lo Green's performance of 'What Part Of Forever' from the Eclipse Soundtrack on Lopez Tonight.    	<p>Don't worry if you missed it, here's another chance to watch Cee Lo Green's performance of 'What Part Of Forever' from the Eclipse Soundtrack on Lopez Tonight.<br />  <br />  <object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" id="ep" width="442" height="375" codebase="http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6,0,40,0">  <param name="allowfullscreen" value="true" />    <param name="allowscriptaccess" value="always" />  <param name="bgcolor" value="#000000" />  <param name="src" value="http://i.cdn.turner.com/tegwebapps/tbs/tbs-www/cvp/tbs_432x243_embed.swf?context=lopez_embed_offsite&amp;videoId=224901" /><embed id="ep" type="application/x-shockwave-flash" width="442" height="375" src="http://i.cdn.turner.com/tegwebapps/tbs/tbs-www/cvp/tbs_432x243_embed.swf?context=lopez_embed_offsite&amp;videoId=224901" bgcolor="#000000" allowscriptaccess="always" allowfullscreen="true"></embed>  </object></p>	2010-07-01 11:08:00.000	2010-07-27 11:27:00.000	2020-07-27 00:00:00.000	1	Cee Lo Green,Lopez Tonight,Video	http://www.ceelogreen.com/news,view_10.htm
11	2	'WHAT PART OF FOREVER' VIDEO PREMIERE		Watch Cee Lo Green’s new music video for ‘What Part Of Forever’ taken from the Eclipse Soundtrack!	<p>Watch Cee Lo Green&rsquo;s new music video for &lsquo;What Part Of Forever&rsquo; taken from the Eclipse Soundtrack! Download the song from iTunes <a href="http://atlr.ec/92hDRA">here</a>.</p>  <object width="425" height="344"><param name="movie" value="http://www.youtube.com/v/z-aOqKTniYU&hl=en&fs=1"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/z-aOqKTniYU&hl=en&fs=1" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="425" height="344"></embed></object>	2010-07-30 17:31:00.000	2010-07-30 17:30:00.000	2020-07-30 00:00:00.000	1	Eclipse Soundtrack	http://www.ceelogreen.com/news,view_11.htm
12	1	WATCH CEE LO GREEN BEHIND THE SCENES			<p>Watch Cee Lo Green behind the scenes at a recent photoshoot <a target="_parent" href="http://www.ceelogreen.com/videos,photoshoot-behind-the-scenes_14.htm">here</a>.&nbsp;<br />  <br />  Photographs from the shoot are now available to see in the '<a target="_parent" href="http://www.ceelogreen.com/photos,official-photos_3.htm">Photos</a>' section, with more being added over the next few weeks.</p>	2010-08-09 12:47:00.000	2010-08-09 12:09:00.000	2020-08-09 00:00:00.000	1		http://www.ceelogreen.com/news,view_12.htm
13	1	In the Mix for Annie Mac on BBC Radio 1		In the Mix for Annie Mac on BBC Radio 1	<p>Cee Lo graced the decks last Friday to bring us a very special Minimix for Annie Mac&rsquo;s show on<br />  BBC Radio 1. <br />  <br />  If you want to skip direct to the mix, it comes in at around 1hr 36mins just after the interview. <br />  <br />  <br />  <a href="http://www.bbc.co.uk/programmes/b00tbbt2">http://www.bbc.co.uk/programmes/b00tbbt2</a>#-</p>	2010-08-16 15:48:00.000	2010-08-16 15:16:00.000	2020-08-16 00:00:00.000	1		http://www.ceelogreen.com/news,view_13.htm
