PhotoID	Link	Gallery	Category	Created	Photo	URL
1	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=31#photo	Official Photos	Official	2011-02-14 12:28:26.013		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/31/31.jpg
2	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=32#photo	Official Photos	Official	2011-02-14 12:28:38.950		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/32/32.jpg
3	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=33#photo	Official Photos	Official	2011-02-14 12:28:55.840		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/33/33.jpg
4	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=34#photo	Official Photos	Official	2011-02-14 12:29:08.263		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/34/34.jpg
5	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=35#photo	Official Photos	Official	2011-02-14 12:29:39.810		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/35/35.jpg
6	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=23#photo	Official Photos	Official	2010-07-28 17:45:42.650		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/23/23.jpg
7	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=17#photo	Official Photos	Official	2010-07-26 09:49:37.383		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/17/17.jpg
8	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=18#photo	Official Photos	Official	2010-07-26 09:50:58.240		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/18/18.jpg
9	http://www.ceelogreen.com/photos,official-photos_3.htm?photo=25#photo	Official Photos	Official	2010-08-20 09:52:54.343	F**K YOU	http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/25/25.jpg
10	http://www.ceelogreen.com/photos,aol-session-london-dec-14th_4.htm?photo=27#photo	AOL Session, London Dec 14th	Live	2010-12-17 11:59:49.043	AOL 1	http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/27/27.jpg
11	http://www.ceelogreen.com/photos,aol-session-london-dec-14th_4.htm?photo=28#photo	AOL Session, London Dec 14th	Live	2010-12-17 12:00:15.420	AOL 10	http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/28/28.jpg
12	http://www.ceelogreen.com/photos,aol-session-london-dec-14th_4.htm?photo=29#photo	AOL Session, London Dec 14th	Live	2010-12-17 12:07:29.013	AOL 4	http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/29/29.jpg
13	http://www.ceelogreen.com/photos,aol-session-london-dec-14th_4.htm?photo=30#photo	AOL Session, London Dec 14th	Live	2010-12-17 13:26:02.967	AOL 2	http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/30/30.jpg
14	http://www.ceelogreen.com/photos,2011-soul-train-awards_5.htm?photo=36#photo	2011 Soul Train Awards	Live	2011-12-01 16:55:42.300		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/36/36.jpg
15	http://www.ceelogreen.com/photos,2011-soul-train-awards_5.htm?photo=37#photo	2011 Soul Train Awards	Live	2011-12-01 16:55:59.470		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/37/37.jpg
16	http://www.ceelogreen.com/photos,2011-soul-train-awards_5.htm?photo=38#photo	2011 Soul Train Awards	Live	2011-12-01 16:56:12.207		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/38/38.jpg
17	http://www.ceelogreen.com/photos,2011-soul-train-awards_5.htm?photo=39#photo	2011 Soul Train Awards	Live	2011-12-01 16:56:51.220		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/39/39.jpg
18	http://www.ceelogreen.com/photos,2011-soul-train-awards_5.htm?photo=40#photo	2011 Soul Train Awards	Live	2011-12-01 16:57:55.017		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/40/40.jpg
19	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=41#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:17:46.767		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/41/41.jpg
20	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=42#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:18:43.860		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/42/42.jpg
21	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=43#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:20:40.783		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/43/43.jpg
22	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=44#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:21:32.283		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/44/44.jpg
23	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=45#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:22:01.580		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/45/45.jpg
24	http://www.ceelogreen.com/photos,macys-thanksgiving-day-parade_6.htm?photo=46#photo	Macy's Thanksgiving Day Parade	Live	2011-12-08 20:22:20.907		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/46/46.jpg
25	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=47#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:29:42.360		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/47/47.jpg
26	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=48#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:30:06.250		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/48/48.jpg
27	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=49#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:30:44.250		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/49/49.jpg
28	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=50#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:31:08.923		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/50/50.jpg
29	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=51#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:31:50.953		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/51/51.jpg
30	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=52#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:32:38.597		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/52/52.jpg
31	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=53#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:33:22.300		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/53/53.jpg
32	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=54#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:34:02.033		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/54/54.jpg
33	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=55#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:34:54.393		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/55/55.jpg
34	http://www.ceelogreen.com/photos,the-black-eyed-peas-final-concert_9.htm?photo=56#photo	The Black Eyed Peas Final Concert	Live	2011-12-08 20:35:27.470		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/56/56.jpg
35	http://www.ceelogreen.com/photos,christmas-in-washington_10.htm?photo=57#photo	Christmas in Washington	Live	2011-12-15 18:33:43.517		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/57/57.jpg
36	http://www.ceelogreen.com/photos,christmas-in-washington_10.htm?photo=58#photo	Christmas in Washington	Live	2011-12-15 18:33:58.453		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/58/58.jpg
37	http://www.ceelogreen.com/photos,christmas-in-washington_10.htm?photo=59#photo	Christmas in Washington	Live	2011-12-15 18:34:10.843		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/59/59.jpg
38	http://www.ceelogreen.com/photos,christmas-in-washington_10.htm?photo=60#photo	Christmas in Washington	Live	2011-12-15 18:34:54.750		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/60/60.jpg
39	http://www.ceelogreen.com/photos,disney-parks-christmas-day-parade_11.htm?photo=61#photo	Disney Parks Christmas Day Parade	Live	2011-12-27 16:45:12.113		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/61/61.jpg
40	http://www.ceelogreen.com/photos,disney-parks-christmas-day-parade_11.htm?photo=62#photo	Disney Parks Christmas Day Parade	Live	2011-12-27 16:45:53.583		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/62/62.jpg
41	http://www.ceelogreen.com/photos,disney-parks-christmas-day-parade_11.htm?photo=63#photo	Disney Parks Christmas Day Parade	Live	2011-12-27 16:46:10.160		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/63/63.jpg
42	http://www.ceelogreen.com/photos,disney-parks-christmas-day-parade_11.htm?photo=64#photo	Disney Parks Christmas Day Parade	Live	2011-12-27 16:47:04.007		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/64/64.jpg
43	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=65#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:24:09.023		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/65/65.jpg
44	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=67#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:24:58.150		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/67/67.jpg
45	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=68#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:26:06.493		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/68/68.jpg
46	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=69#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:26:39.507		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/69/69.jpg
47	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=70#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:27:03.693		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/70/70.jpg
48	http://www.ceelogreen.com/photos,new-years-eve-with-carson-daly_12.htm?photo=71#photo	New Years Eve with Carson Daly	Live	2012-01-07 20:28:09.240		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/71/72.jpg
49	http://www.ceelogreen.com/photos,the-voice-press-day_13.htm?photo=72#photo	The Voice Press Day	Live	2012-01-10 15:45:56.117		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/72/73.jpg
50	http://www.ceelogreen.com/photos,the-voice-press-day_13.htm?photo=73#photo	The Voice Press Day	Live	2012-01-10 15:49:35.133		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/73/74.jpg
51	http://www.ceelogreen.com/photos,the-voice-press-day_13.htm?photo=74#photo	The Voice Press Day	Live	2012-01-10 15:51:48.820		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/74/75.jpg
52	http://www.ceelogreen.com/photos,the-voice-press-day_13.htm?photo=75#photo	The Voice Press Day	Live	2012-01-10 15:52:11.833		http://securecdn.warnerartists.com/ugc/ceelo/ugc-1/gallery/75/76.jpg
