VenueEventID	VenueID	Name	StartDate	TimeStart	TimeEnd	Artists	Info	TicketLink	Active	Price	PriceText	FullInfo	url	Name	Town	County	Country
2	2	O2 Academy Bristol	2011-04-13 00:00:00.000	19:00		Cee Lo		http://www.ceelogreen.com/store/ticket,o2-academy-bristol-bristol-070311_27.htm	1	23.5	23.5		http://www.ceelogreen.com/shows,view_2.htm	O2 Academy Bristol	Bristol	Somerset	UK
3	3	O2 Academy Birmingham	2011-03-28 00:00:00.000	18:30		Cee Lo		http://www.ceelogreen.com/store/ticket,o2-academy-birmingham-birmingham-120311_28.htm	1	23.5	23.5		http://www.ceelogreen.com/shows,view_3.htm	O2 Academy Birmingham	Birmingham	West Midlands	UK
4	4	Manchester Academy	2011-03-27 00:00:00.000	19:30		Cee Lo		http://www.ceelogreen.com/store/ticket,manchester-academy-manchester-160311_29.htm	1	23.5	23.5		http://www.ceelogreen.com/shows,view_4.htm	Manchester Academy	Manchester	Manchester	UK
5	5	O2 Shepherds Bush Empire	2011-03-29 00:00:00.000	19:00		Cee Lo		http://www.ceelogreen.com/store/ticket,o2-shepherds-bush-empire-shepherds-bush-170311_30.htm	1	25	25		http://www.ceelogreen.com/shows,view_5.htm	O2 Shepherds Bush Empire	Shepherds Bush	London	UK
7	7	La Cigale	2011-04-02 00:00:00.000					http://www.digitick.com/cee-lo-green-concert-rap-hip-hop-la-cigale-paris-02-avril-2011-css4-lacigale-pg101-ri760039.html	1	0			http://www.ceelogreen.com/shows,view_7.htm	La Cigale	Paris		
8	8	Trix	2011-04-03 00:00:00.000					http://www.trixonline.be/site/content/programma.asp?id=798	1	0			http://www.ceelogreen.com/shows,view_8.htm	Trix	Antwerp		
9	9	Melkweg	2011-04-04 00:00:00.000					http://www.melkweg.nl/artikelpagina.jsp?artikelid=200635&disciplineid=muziek	1	0			http://www.ceelogreen.com/shows,view_9.htm	Melkweg	Amsterdam		
10	10	Atelier	2011-04-11 00:00:00.000					http://www.atelier.lu/	1	0			http://www.ceelogreen.com/shows,view_10.htm	Atelier	Luxembourg		
11	11	Astra	2011-04-08 00:00:00.000					http://www.astra-berlin.de/	1	0			http://www.ceelogreen.com/shows,view_11.htm	Astra	Berlin		
12	12	X-tra Club	2011-04-09 00:00:00.000					http://www.x-tra.ch/eventinfo_20110409_1562.html	1	0			http://www.ceelogreen.com/shows,view_12.htm	X-tra Club	Zurich		
13	13	Muffathalle	2011-04-10 00:00:00.000					http://www.muffathalle.de/ticket.html	1	0			http://www.ceelogreen.com/shows,view_13.htm	Muffathalle	Munich		
14	14	Cee Lo & Rihanna	2011-06-04 00:00:00.000					http://www.ticketmaster.com/event/15004649B5EE7E78?crosssite=LN_US:1013826:172041	0	0			http://www.ceelogreen.com/shows,view_14.htm	1st Mariner Arena	Baltimore		USA
16	16	Cee Lo & Rihanna	2011-06-10 00:00:00.000					https://wroom.centrebell.ca/eventShopper.html?lang=en&preFill=1&wr=5a614681-79a5-4de4-86b1-6a79c8677e88	0	0			http://www.ceelogreen.com/shows,view_16.htm	Bell Centre	Montreal, QC		Canada
33	16	Cee Lo & Rihanna	2011-06-11 00:00:00.000						0	0			http://www.ceelogreen.com/shows,view_33.htm	Bell Centre	Montreal, QC		Canada
198	16	w/ Lionel Richie	2014-07-28 00:00:00.000				VIP Meet & Greet Packages available now: http://bit.ly/1knCK8N	http://bit.ly/1knCK8N	1	0			http://www.ceelogreen.com/shows,view_198.htm	Bell Centre	Montreal, QC		Canada
17	17	Cee Lo & Rihanna	2011-06-18 00:00:00.000					http://www.ticketmaster.com/event/1100464BD1A5BF9F?crosssite=LN_US:1013826:139625	0	0			http://www.ceelogreen.com/shows,view_17.htm	MTS Centre	Winnipeg		Canada
18	18	Cee Lo & Rihanna	2011-06-19 00:00:00.000					http://www.ticketmaster.com/event/1100464A95D0795C?crosssite=LN_US:1013826:139568	0	0			http://www.ceelogreen.com/shows,view_18.htm	Credit Union Centre	Saskatoon		Canada
20	20	Cee Lo & Rihanna	2011-06-22 00:00:00.000					http://www.ticketmaster.com/event/1100464BC3FDB0BA?crosssite=LN_US:1013826:139304	0	0			http://www.ceelogreen.com/shows,view_20.htm	Rexall Place	Edmonton		Canada
168	21	w/ Lionel Richie	2014-05-29 00:00:00.000				VIP Meet & Greet Packages available now: http://bit.ly/1knCK8N	http://bit.ly/1knCK8N	1	0			http://www.ceelogreen.com/shows,view_168.htm	Rogers Arena	Vancouver, BC		Canada
22	22	Cee Lo & Rihanna	2011-06-28 00:00:00.000					http://www.ticketmaster.com/event/2C004648DD8A44A9?crosssite=LN_US:1013826:360457	0	0			http://www.ceelogreen.com/shows,view_22.htm	STAPLES CENTER	Los Angeles		USA
23	23	Cee Lo & Rihanna	2011-06-30 00:00:00.000					http://www.ticketmaster.com/event/1C004649802138B0?crosssite=LN_US:1013826:229399	0	0			http://www.ceelogreen.com/shows,view_23.htm	Oracle Arena	Oakland		USA
24	24	Cee Lo & Rihanna	2011-07-04 00:00:00.000					http://www.livenation.com/event/1E00464EAA9F36B5?artistid=1013826&majorcatid=10001&minorcatid=202	0	0			http://www.ceelogreen.com/shows,view_24.htm	Hard Rock Casino	Albuquerque		USA
25	25	Cee Lo & Rihanna	2011-07-08 00:00:00.000					http://www.ticketmaster.com/event/0C00464BF828C6AF?crosssite=LN_US:1013826:98723	0	0			http://www.ceelogreen.com/shows,view_25.htm	American Airlines Center	Dallas		USA
26	26	Cee Lo & Rihanna	2011-07-09 00:00:00.000					http://www.houstontoyotacenter.com/events/event_1121.php	0	0			http://www.ceelogreen.com/shows,view_26.htm	Toyota Center	Houston		USA
27	27	Cee Lo & Rihanna	2011-07-19 00:00:00.000					http://www.ticketmaster.com/event/000046499A25828D?crosssite=LN_US:1013826:75	0	0			http://www.ceelogreen.com/shows,view_27.htm	Nassau Coliseum	Uniondale		USA
