VideoID	Name	Code	Keywords	Description	Active	Embed	URL
12	No One's Gonna Love You (Paul Epworth Mix)				1	<object width="640" height="385"><param name="movie" value="http://www.youtube.com/v/MiCCcOP3ay4&rel=0&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_profilepage&fs=1"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/MiCCcOP3ay4&rel=0&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_profilepage&fs=1" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="385"></embed></object>	http://www.ceelogreen.com/videos,view_12.htm
13	No One's Gonna Love You (Paul Epworth Mix) - Clean				1	<object width="640" height="385"><param name="movie" value="http://www.youtube.com/v/wXiTwalPvuQ&rel=0&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_profilepage&fs=1"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/wXiTwalPvuQ&rel=0&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_profilepage&fs=1" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="385"></embed></object>	http://www.ceelogreen.com/videos,view_13.htm
14	Photoshoot Behind the Scenes				1	<object style="height: 344px; width: 425px"><param name="movie" value="http://www.youtube.com/v/Mbau7DWaexI"><param name="allowFullScreen" value="true"><param name="allowScriptAccess" value="always"><embed src="http://www.youtube.com/v/Mbau7DWaexI" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="425" height="344"></object>	http://www.ceelogreen.com/videos,view_14.htm
15	F**K YOU		F**K YOU, Cee Lo Green, Cee Lo, Fuck You, FU,		1	<object width="1280" height="745"><param name="movie" value="http://www.youtube.com/v/CAV0XrbEwNc?fs=1&amp;hl=en_GB&amp;rel=0&amp;color1=0x006699&amp;color2=0x54abd6&amp;hd=1"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/CAV0XrbEwNc?fs=1&amp;hl=en_GB&amp;rel=0&amp;color1=0x006699&amp;color2=0x54abd6&amp;hd=1" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="1280" height="745"></embed></object>	http://www.ceelogreen.com/videos,view_15.htm
16	FUCK YOU (Official Video)				1	<object width="640" height="385"><param name="movie" value="http://www.youtube.com/v/pc0mxOXbWIU&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_detailpage&fs=1"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/pc0mxOXbWIU&color1=0xb1b1b1&color2=0xd0d0d0&hl=en_GB&feature=player_detailpage&fs=1" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="385"></embed></object>	http://www.ceelogreen.com/videos,view_16.htm
18	IT'S OK (Lyric Video)				1	<object width="640" height="390"><param name="movie" value="http://www.youtube.com/v/cYjC75pmWIk&rel=0&hl=en_GB&feature=player_profilepage&version=3"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/cYjC75pmWIk&rel=0&hl=en_GB&feature=player_profilepage&version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="390"></embed></object>	http://www.ceelogreen.com/videos,view_18.htm
19	Bright Lights Bigger City - official video				0	<object width="640" height="385"><param name="movie" value="http://www.youtube.com/v/UBhdIcb84Hw?fs=1&amp;hl=en_US"></param><param name="allowFullScreen" value="true"></param><param name="allowscriptaccess" value="always"></param><embed src="http://www.youtube.com/v/UBhdIcb84Hw?fs=1&amp;hl=en_US" type="application/x-shockwave-flash" allowscriptaccess="always" allowfullscreen="true" width="640" height="385"></embed></object>	http://www.ceelogreen.com/videos,view_19.htm
20	IT'S OK (Official Video)				1	<object width="640" height="390"><param name="movie" value="http://www.youtube.com/v/IGe3GFWEO2I&hl=en_GB&feature=player_detailpage&version=3"></param><param name="allowFullScreen" value="true"></param><param name="allowScriptAccess" value="always"></param><embed src="http://www.youtube.com/v/IGe3GFWEO2I&hl=en_GB&feature=player_detailpage&version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="390"></embed></object>	http://www.ceelogreen.com/videos,view_20.htm
21	BRIGHT LIGHTS BIGGER CITY FT WIZ KHALIFA				1	<object style="height: 390px; width: 640px"><param name="movie" value="http://www.youtube.com/v/z6onBi5uNUc?version=3"><param name="allowFullScreen" value="true"><param name="allowScriptAccess" value="always"><embed src="http://www.youtube.com/v/z6onBi5uNUc?version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="390"></object>	http://www.ceelogreen.com/videos,view_21.htm
22	I Want You (Hold On To Love)				1	<object style="height: 390px; width: 640px"><param name="movie" value="http://www.youtube.com/v/2jcezrzcqns?version=3"><param name="allowFullScreen" value="true"><param name="allowScriptAccess" value="always"><embed src="http://www.youtube.com/v/2jcezrzcqns?version=3" type="application/x-shockwave-flash" allowfullscreen="true" allowScriptAccess="always" width="640" height="390"></object>	http://www.ceelogreen.com/videos,view_22.htm
